Seed,Dataset,Model,HyperOpt params
0,报告数据,xgb,"{'lambda': '0.3572', 'gamma': '0.0001', 'subsample': '0.7753', 'colsample_bytree': '0.7048', 'max_depth': '3.0000', 'eta': '0.0190', 'scale_pos_weight': '1.0693'}"
0,报告数据,xgb,"{'lambda': '0.0377', 'gamma': '0.0000', 'subsample': '0.8664', 'colsample_bytree': '0.6439', 'max_depth': '9.0000', 'eta': '0.0014', 'scale_pos_weight': '1.0881'}"
0,报告数据,xgb,"{'lambda': '0.0002', 'gamma': '0.0002', 'subsample': '0.7994', 'colsample_bytree': '0.6195', 'max_depth': '11.0000', 'eta': '0.0026', 'scale_pos_weight': '1.0450'}"
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.0332', 'subsample': '0.7217', 'colsample_bytree': '0.3341', 'max_depth': '9.0000', 'eta': '0.0444', 'scale_pos_weight': '1.1387'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.8562', 'colsample_bytree': '0.4654', 'max_depth': '11.0000', 'eta': '0.0117', 'scale_pos_weight': '1.1786'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.8009', 'colsample_bytree': '0.6495', 'max_depth': '9.0000', 'eta': '0.0217', 'scale_pos_weight': '1.1794'}"
0,报告数据,xgb,"{'lambda': '0.3966', 'gamma': '0.1573', 'subsample': '0.9220', 'colsample_bytree': '0.6597', 'max_depth': '9.0000', 'eta': '0.0431', 'scale_pos_weight': '1.1553'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.2116', 'subsample': '0.7609', 'colsample_bytree': '0.9835', 'max_depth': '5.0000', 'eta': '0.0101', 'scale_pos_weight': '1.0135'}"
0,报告数据,xgb,"{'lambda': '0.0001', 'gamma': '0.0000', 'subsample': '0.7654', 'colsample_bytree': '0.7925', 'max_depth': '5.0000', 'eta': '0.0010', 'scale_pos_weight': '1.0275'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0004', 'subsample': '0.8054', 'colsample_bytree': '0.6988', 'max_depth': '7.0000', 'eta': '0.0011', 'scale_pos_weight': '1.0906'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7755', 'colsample_bytree': '0.5102', 'max_depth': '5.0000', 'eta': '0.0037', 'scale_pos_weight': '1.0487'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.8884', 'colsample_bytree': '0.7690', 'max_depth': '9.0000', 'eta': '0.0151', 'scale_pos_weight': '1.0016'}"
0,报告数据,xgb,"{'lambda': '0.0132', 'gamma': '0.0000', 'subsample': '0.8673', 'colsample_bytree': '0.7184', 'max_depth': '7.0000', 'eta': '0.0440', 'scale_pos_weight': '1.0909'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.9179', 'colsample_bytree': '0.6631', 'max_depth': '11.0000', 'eta': '0.0011', 'scale_pos_weight': '1.0178'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7518', 'colsample_bytree': '0.5712', 'max_depth': '5.0000', 'eta': '0.0023', 'scale_pos_weight': '1.0004'}"
0,报告数据,xgb,"{'lambda': '0.0006', 'gamma': '0.0000', 'subsample': '0.7795', 'colsample_bytree': '0.6546', 'max_depth': '3.0000', 'eta': '0.0159', 'scale_pos_weight': '1.0622'}"
